ક  k
ખ  kh 
ગ  g
ઘ  gh
ચ  ch
છ  chh
જ  j
ઝ  z
ટ  t
ઠ  th
ડ  d
ઢ  dh
ણ  n
ત  t
થ  th
દ  d
ધ  dh
ન  n
પ  p
ફ  ph
બ  b
ભ  bh
મ  m
ય  y
ર  r
લ  l
વ  v
શ  sh
ષ  sh
સ  s
હ  h
ળ  l
ક્ષ  ksh
જ્ઞ gn
અ a
આ aa
ઇ i
ઈ ee
ઉ u
ઊ oo
એ e
ઐ ai
ઓ o
ઔ au
ા  a
િ i
ી i
ુ  u
ૂ u
ે e
ૈ ai
ો o
ૌ au
ં n
ઃ ah
ૃ ru
ઋ ru
ઍ e 
ૅ e
ત્ર tr
શ્ર shr
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
0 0
૧ 1
૨ 2
૩ 3
૪ 4
૫ 5
૬ 6
૭ 7
૮ 8
૯ 9
૦ 0
, ,
. .
