ક  k
ખ  kh 
ગ  g
ઘ  gh
ચ  ch
છ  chh
જ  j
ઝ  z
ટ  T
ઠ  Th
ડ  D
ઢ  Dh
ણ  N
ત  t
થ  th
દ  d
ધ  dh
ન  n
પ  p
ફ  ph
બ  b
ભ  bh
મ  m
ય  y
ર  r
લ  l
વ  v
શ  sh
ષ  shh
સ  s
હ  h
ળ  L
ક્ષ  ksh
જ્ઞ gn
અ a
આ aa
ઇ i
ઈ ee
ઉ u
ઊ oo
એ e
ઐ ai
ઓ o
ઔ au
્ 
ા  aa
િ i
ી ee
ુ  u
ૂ oo
ે e
ૈ ai
ો o
ૌ au
ં am
ઃ ah
ૃ ru
ઋ ru
ઍ e 
ૅ e
ત્ર tr
શ્ર shr
